customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
1,67,Other,Jeans,Accessories,149,Houston,M,Yellow,Summer,2.6,No,Standard,Yes,No,7,UPI,Daily
2,47,Male,Sunglasses,Accessories,133,Chicago,L,Blue,Spring,4.9,Yes,Express,No,No,16,PayPal,Weekly
3,35,Male,Jacket,Electronics,24,Phoenix,S,Blue,Autumn,2.0,No,Standard,Yes,No,5,Cash,Daily
4,64,Male,Jeans,Accessories,20,New York,M,Yellow,Autumn,1.1,Yes,Express,No,Yes,16,UPI,Monthly
5,21,Male,Jeans,Footwear,365,New York,L,Red,Winter,4.8,Yes,Express,No,No,16,Cash,Monthly
6,40,Female,T-Shirt,Footwear,31,Phoenix,M,White,Spring,4.8,Yes,Express,Yes,Yes,2,Credit Card,Weekly
7,34,Other,Watch,Fashion,472,Houston,XXL,White,Autumn,4.7,No,Same-Day,No,Yes,12,PayPal,Daily
8,16,Male,Sunglasses,Accessories,262,New York,M,White,Winter,4.9,Yes,Standard,Yes,No,12,UPI,Weekly
9,51,Other,Shoes,Fashion,312,New York,XL,White,Summer,4.5,Yes,Standard,No,No,4,Cash,Monthly
10,29,Other,Jacket,Footwear,70,Phoenix,XL,Black,Summer,2.5,Yes,Same-Day,No,No,14,PayPal,Daily
11,25,Other,Sunglasses,Accessories,36,Miami,M,Green,Winter,2.1,No,Same-Day,Yes,No,10,Debit Card,Daily
12,42,Male,T-Shirt,Fashion,176,Houston,XL,Yellow,Summer,3.5,Yes,Express,No,No,18,Cash,Weekly
13,24,Female,Sunglasses,Fashion,235,Seattle,M,Black,Spring,4.6,No,Standard,No,Yes,13,Cash,Weekly
14,22,Other,Shoes,Fashion,388,Chicago,L,Green,Winter,2.1,Yes,Standard,Yes,No,6,Debit Card,Monthly
15,54,Other,Backpack,Accessories,111,Seattle,L,Red,Spring,3.5,Yes,Express,No,Yes,11,UPI,Daily
16,39,Female,Watch,Accessories,262,Miami,M,Black,Spring,1.6,No,Standard,Yes,Yes,4,Credit Card,Monthly
17,64,Male,T-Shirt,Accessories,202,Los Angeles,L,White,Spring,4.3,No,Same-Day,Yes,No,1,Credit Card,Weekly
18,66,Female,Backpack,Footwear,328,Phoenix,XXL,Blue,Spring,2.6,Yes,Express,Yes,Yes,6,Credit Card,Monthly
19,18,Male,Sunglasses,Footwear,139,New York,XXL,Blue,Spring,1.2,No,Express,No,No,3,Debit Card,Daily
20,45,Other,T-Shirt,Electronics,317,Houston,L,Red,Winter,2.5,Yes,Same-Day,Yes,No,10,Cash,Monthly
21,27,Other,T-Shirt,Fashion,214,Los Angeles,M,Blue,Winter,2.2,Yes,Express,Yes,No,5,Credit Card,Monthly
22,54,Male,Sunglasses,Footwear,321,Seattle,XL,Black,Spring,1.6,Yes,Standard,Yes,No,10,Cash,Daily
23,19,Other,Sunglasses,Footwear,288,New York,XL,Blue,Summer,2.6,Yes,Same-Day,No,No,3,PayPal,Monthly
24,43,Male,Watch,Fashion,429,Los Angeles,XL,Green,Summer,2.2,Yes,Standard,No,Yes,13,UPI,Weekly
25,62,Female,Backpack,Electronics,161,Seattle,XXL,White,Winter,3.0,Yes,Same-Day,No,Yes,19,Debit Card,Weekly
26,53,Male,Backpack,Accessories,499,Miami,L,Blue,Spring,4.3,Yes,Same-Day,Yes,Yes,10,Debit Card,Monthly
27,39,Female,Sunglasses,Electronics,353,Miami,S,White,Summer,1.2,Yes,Same-Day,Yes,Yes,1,UPI,Weekly
28,62,Male,Sunglasses,Accessories,263,Chicago,L,White,Summer,3.3,No,Express,No,Yes,1,Cash,Monthly
29,43,Other,Sunglasses,Fashion,165,Los Angeles,XXL,White,Spring,3.1,No,Express,Yes,No,14,PayPal,Daily
30,56,Female,Jacket,Fashion,457,Los Angeles,XXL,White,Spring,1.0,No,Express,No,Yes,14,UPI,Monthly
31,29,Other,Jacket,Fashion,61,Chicago,XXL,Yellow,Spring,1.7,Yes,Same-Day,Yes,No,14,Credit Card,Daily
32,44,Female,Backpack,Fashion,37,Seattle,S,Yellow,Autumn,4.2,Yes,Express,Yes,No,2,Credit Card,Daily
33,30,Male,Jacket,Fashion,403,Los Angeles,M,Blue,Summer,4.7,Yes,Standard,Yes,No,13,Credit Card,Daily
34,37,Male,Jacket,Accessories,233,Los Angeles,S,Green,Summer,1.3,Yes,Standard,Yes,No,4,UPI,Monthly
35,67,Male,Watch,Electronics,466,New York,M,White,Spring,3.0,No,Express,No,Yes,19,Cash,Daily
